method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
SOPT,3,0.9999,19,21,21,26,0.755800483,0.0001191978100572501
clsSOPT,3,0.9999,19,21,21,26,0.7175922509999999,0.0002222106574694626
QDEIM,3,0.9999,19,21,21,26,0.7636909860000001,0.0002839328081274755
clsQDEIM,3,0.9999,19,21,21,26,0.7601917659999999,0.000313691957324035
SOPT,3,0.9999,19,21,21,27,0.776587613,0.0001694438319742061
clsSOPT,3,0.9999,19,21,21,27,0.735854134,0.0001327093404960062
QDEIM,3,0.9999,19,21,21,27,0.7712562279999999,0.0003117690571829636
clsQDEIM,3,0.9999,19,21,21,27,0.773867583,0.0003308966057461759
SOPT,3,0.9999,19,21,21,28,0.796143236,0.0003250519155379729
clsSOPT,3,0.9999,19,21,21,28,0.753270816,0.0001878855660164429
QDEIM,3,0.9999,19,21,21,28,0.7950440550000001,0.0003191785149024583
clsQDEIM,3,0.9999,19,21,21,28,0.825865958,0.0003266245083944037
SOPT,3,0.9999,19,21,21,29,0.81885835,0.000563095380548564
clsSOPT,3,0.9999,19,21,21,29,0.766161442,0.0001623189343547147
QDEIM,3,0.9999,19,21,21,29,0.80671662,0.000266643081623086
clsQDEIM,3,0.9999,19,21,21,29,0.812827265,0.0003971582990344734
SOPT,3,0.9999,19,21,21,30,0.821323934,0.0006663634554357824
clsSOPT,3,0.9999,19,21,21,30,0.795523803,0.0002691829621825032
QDEIM,3,0.9999,19,21,21,30,0.816801165,0.0007574575960989749
clsQDEIM,3,0.9999,19,21,21,30,0.866484821,0.0003395675564086168
SOPT,3,0.9999,19,21,21,31,0.842607247,0.0006665527372493055
clsSOPT,3,0.9999,19,21,21,31,0.813363971,0.0002826974171610421
QDEIM,3,0.9999,19,21,21,31,0.827518463,0.0007146900243293877
clsQDEIM,3,0.9999,19,21,21,31,0.8551940099999999,0.0003675343465899459
SOPT,3,0.9999,19,21,21,32,0.8571474240000001,0.0004448256341175733
clsSOPT,3,0.9999,19,21,21,32,0.84357815,0.0004965614099947108
QDEIM,3,0.9999,19,21,21,32,0.843226836,0.000727635898086004
clsQDEIM,3,0.9999,19,21,21,32,0.873014644,0.0003483466487547881
SOPT,3,0.9999,19,21,21,33,0.882423431,0.0004431549637903159
clsSOPT,3,0.9999,19,21,21,33,0.845609769,0.0005527228801836274
QDEIM,3,0.9999,19,21,21,33,0.864478743,0.0007601535148898243
clsQDEIM,3,0.9999,19,21,21,33,0.901030993,0.0003244771460497757
SOPT,3,0.9999,19,21,21,34,0.898764847,0.0007745932849797837
clsSOPT,3,0.9999,19,21,21,34,0.862997315,0.000549603834098389
QDEIM,3,0.9999,19,21,21,34,0.879997554,0.0006058353337778851
clsQDEIM,3,0.9999,19,21,21,34,0.909447721,0.0003153164395441602
SOPT,3,0.9999,19,21,21,35,0.9036866609999999,0.0006982988046471187
clsSOPT,3,0.9999,19,21,21,35,0.917174602,0.0005857946768038544
QDEIM,3,0.9999,19,21,21,35,0.89852163,0.000605842735060017
clsQDEIM,3,0.9999,19,21,21,35,0.92284676,0.0003003184213183983
SOPT,3,0.9999,19,21,21,36,0.9248544500000001,0.0003491526828059748
clsSOPT,3,0.9999,19,21,21,36,0.899866433,0.0005953240899594829
QDEIM,3,0.9999,19,21,21,36,0.9169749660000001,0.0004938148312311519
clsQDEIM,3,0.9999,19,21,21,36,0.930741698,0.0002870993765677835
SOPT,3,0.9999,19,21,21,37,0.9488524,0.0004290210837104555
clsSOPT,3,0.9999,19,21,21,37,0.929493712,0.0007737553232411063
QDEIM,3,0.9999,19,21,21,37,0.974950348,0.0003873209858284718
clsQDEIM,3,0.9999,19,21,21,37,0.937286085,0.0006431090174934984
SOPT,3,0.9999,19,21,21,38,0.996873922,0.00048086646626005
clsSOPT,3,0.9999,19,21,21,38,0.9270846540000001,0.0007122184667615258
QDEIM,3,0.9999,19,21,21,38,1.749922842,0.0003680271882450591
clsQDEIM,3,0.9999,19,21,21,38,0.96872283,0.0005360686317412204
SOPT,3,0.9999,19,21,21,39,0.972180748,0.0004184547807224449
clsSOPT,3,0.9999,19,21,21,39,0.9403723349999999,0.0004695474782118039
QDEIM,3,0.9999,19,21,21,39,1.014608958,0.000360699153907191
clsQDEIM,3,0.9999,19,21,21,39,0.989547186,0.000606361686426851
SOPT,3,0.9999,19,21,21,40,0.996961996,0.0004211146303487855
clsSOPT,3,0.9999,19,21,21,40,0.95046389,0.000359634092334657
