method,t,energy_frac,rxdim,rvdim,nldim,q,nqp,time,err_x,err_v
SOPT,1.0,0.99999,8,22,25,260,963,0.262599,0.000126944,0.0160126
gappy-POD,1.0,0.99999,8,22,25,260,756,0.205335,0.000414641,0.0800044
QDEIM,1.0,0.99999,8,22,25,260,486,0.1361,0.000414641,0.0800044
SOPT,1.0,0.99999,8,22,25,280,999,0.26667,0.000112313,0.0137898
gappy-POD,1.0,0.99999,8,22,25,280,792,0.216369,0.000371868,0.08406
QDEIM,1.0,0.99999,8,22,25,280,495,0.138359,0.000371868,0.08406
SOPT,1.0,0.99999,8,22,25,300,1053,0.281981,5.42684e-05,0.00815381
gappy-POD,1.0,0.99999,8,22,25,300,828,0.226349,0.000309195,0.0815798
QDEIM,1.0,0.99999,8,22,25,300,549,0.152406,0.000309195,0.0815798
SOPT,1.0,0.99999,8,22,25,320,1071,0.288129,5.1864e-05,0.00764763
gappy-POD,1.0,0.99999,8,22,25,320,846,0.228973,0.000295814,0.0799056
QDEIM,1.0,0.99999,8,22,25,320,612,0.169178,0.000295814,0.0799056
SOPT,1.0,0.99999,8,22,25,340,1116,0.300762,2.02869e-05,0.00499732
gappy-POD,1.0,0.99999,8,22,25,340,882,0.24114,0.000263693,0.0690376
QDEIM,1.0,0.99999,8,22,25,340,657,0.180905,0.000263693,0.0690376
SOPT,1.0,0.99999,8,22,25,360,1125,0.306112,1.24312e-05,0.0021926
gappy-POD,1.0,0.99999,8,22,25,360,918,0.249872,0.000237047,0.0654939
QDEIM,1.0,0.99999,8,22,25,360,675,0.186212,0.000237047,0.0654939
SOPT,1.0,0.99999,8,22,25,380,1134,0.304594,1.24223e-05,0.00207518
gappy-POD,1.0,0.99999,8,22,25,380,954,0.258362,0.000207871,0.0666508
QDEIM,1.0,0.99999,8,22,25,380,774,0.213695,0.000207871,0.0666508
SOPT,1.0,0.99999,8,22,25,400,1134,0.303355,1.24242e-05,0.0020775
gappy-POD,1.0,0.99999,8,22,25,400,972,0.265228,0.000169075,0.0511789
QDEIM,1.0,0.99999,8,22,25,400,873,0.240017,0.000169075,0.0511789
EQP,1.0,0.999999,14,26,1239,2626,,0.257937,9.09022e-07,0.0239165
SOPT,1.0,0.999999,14,26,29,40,279,0.0802912,0.00131336,0.382724
gappy-POD,1.0,0.999999,14,26,29,40,225,0.0668453,0.00145323,0.320739
QDEIM,1.0,0.999999,14,26,29,40,297,0.0807038,0.00145323,0.320739
SOPT,1.0,0.999999,14,26,29,60,324,0.092118,0.00116677,0.209483
gappy-POD,1.0,0.999999,14,26,29,60,306,0.0885138,0.00132688,0.235116
QDEIM,1.0,0.999999,14,26,29,60,405,0.114303,0.00132688,0.235116
SOPT,1.0,0.999999,14,26,29,80,396,0.114946,0.000942264,0.164789
gappy-POD,1.0,0.999999,14,26,29,80,324,0.0934796,0.00125994,0.217436
QDEIM,1.0,0.999999,14,26,29,80,414,0.118987,0.00125994,0.217436
SOPT,1.0,0.999999,14,26,29,100,477,0.134884,0.000733436,0.123066
gappy-POD,1.0,0.999999,14,26,29,100,351,0.101749,0.00123747,0.213723
QDEIM,1.0,0.999999,14,26,29,100,441,0.119676,0.00123747,0.213723
SOPT,1.0,0.999999,14,26,29,120,567,0.160417,0.000582409,0.0898107
gappy-POD,1.0,0.999999,14,26,29,120,396,0.112391,0.00114349,0.192749
QDEIM,1.0,0.999999,14,26,29,120,477,0.133712,0.00114349,0.192749
SOPT,1.0,0.999999,14,26,29,140,621,0.174953,0.000501181,0.0857562
gappy-POD,1.0,0.999999,14,26,29,140,450,0.129116,0.000945165,0.165892
QDEIM,1.0,0.999999,14,26,29,140,477,0.137151,0.000945165,0.165892
SOPT,1.0,0.999999,14,26,29,160,711,0.197163,0.000415555,0.0668945
gappy-POD,1.0,0.999999,14,26,29,160,486,0.135072,0.000903022,0.162608
QDEIM,1.0,0.999999,14,26,29,160,522,0.145318,0.000903022,0.162608
SOPT,1.0,0.999999,14,26,29,180,783,0.215805,0.00032909,0.0522271
gappy-POD,1.0,0.999999,14,26,29,180,513,0.144618,0.000840056,0.156254
QDEIM,1.0,0.999999,14,26,29,180,639,0.177426,0.000840056,0.156254
SOPT,1.0,0.999999,14,26,29,200,864,0.237342,0.000232501,0.0373088
gappy-POD,1.0,0.999999,14,26,29,200,540,0.150837,0.000816895,0.127622
QDEIM,1.0,0.999999,14,26,29,200,684,0.191843,0.000816895,0.127622
SOPT,1.0,0.999999,14,26,29,220,891,0.246958,0.000226854,0.0332677
gappy-POD,1.0,0.999999,14,26,29,220,594,0.166642,0.00070817,0.118963
QDEIM,1.0,0.999999,14,26,29,220,693,0.19202,0.00070817,0.118963
SOPT,1.0,0.999999,14,26,29,240,954,0.263065,0.000156629,0.0269697
gappy-POD,1.0,0.999999,14,26,29,240,621,0.171457,0.000702593,0.126898
QDEIM,1.0,0.999999,14,26,29,240,702,0.19561,0.000702593,0.126898
SOPT,1.0,0.999999,14,26,29,260,972,0.269814,0.000131406,0.0255506
gappy-POD,1.0,0.999999,14,26,29,260,684,0.190095,0.000521557,0.0795579
QDEIM,1.0,0.999999,14,26,29,260,711,0.199246,0.000521557,0.0795579
SOPT,1.0,0.999999,14,26,29,280,999,0.272279,0.000108783,0.0295962
gappy-POD,1.0,0.999999,14,26,29,280,738,0.203882,0.000425788,0.0854854
QDEIM,1.0,0.999999,14,26,29,280,720,0.1985,0.000425788,0.0854854
