method,energy_frac,rwdim,rrdim,nldim,nsr,nqp,time,error
EQP,0.999,3,5,4,120,78,0.120199906,0.04404777517156234
EQP,0.999,3,5,4,130,78,0.112218324,0.04404777517156234
EQP,0.999,3,5,4,140,78,0.111570044,0.04404777517156234
EQP,0.999,3,5,4,150,78,0.114231222,0.04404777517156234
SOPT,0.999,3,5,4,5,40,0.087392672,0.04632975152011353
gappy-POD,0.999,3,5,4,5,40,0.086195703,0.07634155620894995
QDEIM,0.999,3,5,4,5,40,0.08396928000000001,0.4086597946729608
SOPT,0.999,3,5,4,10,76,0.130147645,0.05017369256635844
gappy-POD,0.999,3,5,4,10,80,0.136163126,0.07634155620895058
SOPT,0.999,3,5,4,15,108,0.164261002,0.04947996525335152
gappy-POD,0.999,3,5,4,15,120,0.207072654,0.07634155620895131
QDEIM,0.999,3,5,4,15,120,0.183448469,0.3518237606755361
SOPT,0.999,3,5,4,20,136,0.2002087849999999,0.04956610162583134
gappy-POD,0.999,3,5,4,20,160,0.226877014,0.07634155620895161
QDEIM,0.999,3,5,4,20,156,0.226253877,0.8022941722684238
SOPT,0.999,3,5,4,25,156,0.2311211,0.04975965083149523
gappy-POD,0.999,3,5,4,25,200,0.285229642,0.0763415562089516
QDEIM,0.999,3,5,4,25,196,0.27310605,0.4410437141311335
SOPT,0.999,3,5,4,30,188,0.259403812,0.04975965083149525
gappy-POD,0.999,3,5,4,30,240,0.320658174,0.07634155620895273
QDEIM,0.999,3,5,4,30,232,0.307993,0.2966969433571499
SOPT,0.999,3,5,4,35,216,0.290258488,0.04975965083149523
gappy-POD,0.999,3,5,4,35,280,0.3672465389999999,0.07639760597900092
QDEIM,0.999,3,5,4,35,272,0.360546637,0.2571043681986951
SOPT,0.999,3,5,4,40,252,0.331799999,0.04975965083149526
gappy-POD,0.999,3,5,4,40,320,0.425047574,0.07649895583617479
QDEIM,0.999,3,5,4,40,308,0.417196723,0.2479960461025867
SOPT,0.999,3,5,4,45,288,0.381374173,0.04975965083149522
gappy-POD,0.999,3,5,4,45,360,0.471772164,0.07660783660192708
gappy-POD,0.999,3,5,4,50,400,0.527744978,0.07669989813330051
SOPT,0.999,3,5,4,100,640,0.78664004,0.0499198174412697
gappy-POD,0.999,3,5,4,100,764,0.935990638,0.07815540259734088
QDEIM,0.999,3,5,4,100,728,0.986230273,0.07012452181592532
SOPT,0.999,3,5,4,200,1016,1.232531193,0.05045882393926204
gappy-POD,0.999,3,5,4,200,1352,1.629985595,0.05058314404249408
QDEIM,0.999,3,5,4,200,1096,1.481669368,0.05928354091670944
SOPT,0.999,3,5,4,300,1364,1.631322341,0.05168427083944166
gappy-POD,0.999,3,5,4,300,1676,1.949250256,0.05599501212308835
QDEIM,0.999,3,5,4,300,1500,1.934660104,0.0609605673181533
SOPT,0.999,3,5,4,400,1740,2.059640255,0.05370575920635947
gappy-POD,0.999,3,5,4,400,1984,2.313096057,0.05487771010193363
QDEIM,0.999,3,5,4,400,2008,2.486428465,0.07007495936570504
SOPT,0.999,3,5,4,500,2104,2.551522323,0.05685360395789818
gappy-POD,0.999,3,5,4,500,2264,2.700253589,0.05585934610960182
QDEIM,0.999,3,5,4,500,2448,3.245879637,0.065545830232577
SOPT,0.999,3,5,4,600,2456,2.986853027,0.05913620344257878
gappy-POD,0.999,3,5,4,600,2588,3.043981882,0.05647946501836488
QDEIM,0.999,3,5,4,600,2688,3.435802333,0.0613588595276063
SOPT,0.999,3,5,4,700,2776,3.316368664,0.05982331192312967
gappy-POD,0.999,3,5,4,700,2880,3.386431934,0.05509928405596969
QDEIM,0.999,3,5,4,700,2940,3.961631845,0.05856310378598269
SOPT,0.999,3,5,4,800,3040,3.569918209,0.06110378758571
gappy-POD,0.999,3,5,4,800,3088,3.627287038,0.05437522445495574
QDEIM,0.999,3,5,4,800,3152,4.141063099,0.05667853833234112
SOPT,0.999,3,5,4,900,3292,3.894852664,0.06187350667675085
gappy-POD,0.999,3,5,4,900,3288,3.859392885,0.05401875443542922
QDEIM,0.999,3,5,4,900,3284,4.323645398,0.05517571345451262
SOPT,0.999,3,5,4,1000,3520,4.192694723,0.06191537666268699
gappy-POD,0.999,3,5,4,1000,3456,4.042799667,0.05376936018334096
QDEIM,0.999,3,5,4,1000,3388,4.492596704,0.05278204624868047
SOPT,0.999,3,5,4,1100,3788,4.515562974,0.05921005820325482
gappy-POD,0.999,3,5,4,1100,3664,4.332091002,0.05370896331779626
QDEIM,0.999,3,5,4,1100,3748,5.034424856,0.05265981639583788
SOPT,0.999,3,5,4,1200,3916,4.606102776,0.05793348713989654
gappy-POD,0.999,3,5,4,1200,3824,4.53617891,0.0531898776445268
QDEIM,0.999,3,5,4,1200,3904,5.174054682,0.05261897827836871
SOPT,0.999,3,5,4,1300,3992,5.06344858,0.05674966910449616
