method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clsgnat,0.1,4,7,18,180,2096358.067251,2.361297,9.20841,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,180,3.843433,1.532998,14.2426,1.274e-05,0.00284184,0.000167629
qdeim,0.1,4,7,18,180,5.056962,1.412204,9.46289,2.50748e-06,0.00191705,7.08759e-05
gnat,0.1,4,7,18,180,4.449006,1.585170,8.25275,4.5579e-06,0.000913545,4.30587e-05
clssopt,0.1,4,7,18,190,1.621813,1.250705,15.7575,1.45132e-05,0.00258908,0.00014496
clsqdeim,0.1,4,7,18,190,1.722923,1.346956,14.8591,2.25747e-05,0.00979544,0.000313776
clsgnat,0.1,4,7,18,190,1679631.220582,15.502510,8.39472,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,190,3.273091,1.540936,14.5571,1.21598e-05,0.00270902,0.000165391
qdeim,0.1,4,7,18,190,3.100760,1.440496,9.33764,2.11335e-06,0.00164133,4.8189e-05
gnat,0.1,4,7,18,190,2.843001,1.363207,7.99997,4.26936e-06,0.000954423,3.0418e-05
clssopt,0.1,4,7,18,200,2.757630,1.411441,16.0296,1.57613e-05,0.00258195,0.000131751
clsqdeim,0.1,4,7,18,200,1.757073,1.420492,15.9173,4.14081e-05,0.0165,0.000559473
clsgnat,0.1,4,7,18,200,1574950.933731,1.780835,9.26697,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,200,3.411055,1.539373,14.3575,9.72559e-06,0.002438,0.000150661
qdeim,0.1,4,7,18,200,3.151911,1.391495,9.66981,2.33214e-06,0.00172742,6.32617e-05
gnat,0.1,4,7,18,200,2.505936,1.354545,8.80403,3.53811e-06,0.000945753,3.21584e-05
clssopt,0.1,4,14,25,10,6.842508,4.447648,5.08652,0.000117204,0.0196701,0.000573301
clsqdeim,0.1,4,14,25,10,8.337687,4.438498,5.41389,6.81602e-06,0.00446463,0.000244105
clsgnat,0.1,4,14,25,10,7858295.900470,2030027.438271,2.85358,0.0611299,,8.24708e-05
sopt,0.1,4,14,25,10,19.709525,9.294698,3.92018,,,
