p,method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
0.3,clsthQDEIM,3,0.9999,19,21,21,57,3.555148,1.019157604,0.002166399178114478
0.3,thQDEIM,3,0.9999,19,21,21,57,5.181843,1.172286228,0.0003636117864221808
,SOPT,3,0.9999,19,21,21,59,4.177082,1.193451458,0.0001315263041422445
0.3,clsthSOPT,3,0.9999,19,21,21,59,4.716218,1.160266742,0.0002457715458244893
0.3,thSOPT,3,0.9999,19,21,21,59,3.472014,1.205788999,0.0001315263041424614
1,QDEIM,3,0.9999,19,21,21,59,3.591529,1.190992796,0.0006316712251318711
0.3,clsthQDEIM,3,0.9999,19,21,21,59,3.974679,1.04933961,0.002173219552268785
0.3,thQDEIM,3,0.9999,19,21,21,59,4.210463,1.208175779,0.0003375480156786346
,SOPT,3,0.9999,19,21,21,61,3.317336,1.232141262,0.0002160646370502662
0.3,clsthSOPT,3,0.9999,19,21,21,61,4.160127,1.199742758,0.0002384911036898684
0.3,thSOPT,3,0.9999,19,21,21,61,4.126507,1.231590904,0.0002160646370502771
1,QDEIM,3,0.9999,19,21,21,61,3.639962,1.235093256,0.0006313809992749165
