method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
gnat,0.05,7,14,33,170,3.643847,1.659215,0.557552,2.98885e-06,0.000349968,3.552e-05
clssopt,0.05,7,14,33,180,1.999129,1.812443,,0.0209438,10.3115,8.0811
clsqdeim,0.05,7,14,33,180,2.133863,1.556073,0.996296,2.74206e-06,0.00048808,5.90096e-05
clsgnat,0.05,7,14,33,180,2940936.872654,3410776.018773,1.76713,0.0500529,,
sopt,0.05,7,14,33,180,3.637550,2.513896,0.978097,2.23358e-06,0.00035302,3.36146e-05
qdeim,0.05,7,14,33,180,5.004074,2.421993,0.768199,4.76934e-06,0.000782153,0.000103753
gnat,0.05,7,14,33,180,3.350352,1.665611,0.587251,4.28538e-06,0.000390534,4.3843e-05
clssopt,0.05,7,14,33,190,2.158373,1.593041,,0.018828,6.94311,3.57376
clsqdeim,0.05,7,14,33,190,2.062902,1.504329,1.27762,3.65407e-06,0.00047572,7.36776e-05
clsgnat,0.05,7,14,33,190,2897578.203039,3896071.059943,1.87072,0.0500529,,
sopt,0.05,7,14,33,190,3.761601,2.566835,0.908258,2.35428e-06,0.000356335,3.19481e-05
qdeim,0.05,7,14,33,190,4.908007,2.568204,0.76831,4.32343e-06,0.00072549,0.000100353
gnat,0.05,7,14,33,190,3.142945,1.821452,0.506355,3.84512e-06,0.000421689,4.09284e-05
clssopt,0.05,7,14,33,200,2.002507,1.454441,,0.0195936,18.499,29.6192
clsqdeim,0.05,7,14,33,200,1.903668,1.483205,1.30935,3.74724e-06,0.000452327,6.33769e-05
clsgnat,0.05,7,14,33,200,2804967.982982,4527516.062653,1.87618,0.0500529,,
sopt,0.05,7,14,33,200,3.416071,2.472682,0.931531,2.53205e-06,0.000367178,3.21521e-05
qdeim,0.05,7,14,33,200,4.747317,2.479214,0.835789,4.48251e-06,0.000690659,9.7073e-05
gnat,0.05,7,14,33,200,2.904585,1.598928,0.685676,2.60162e-06,0.000413506,3.49017e-05
clssopt,0.05,7,23,43,10,13.272251,8.278825,0.520091,9.31783e-05,0.0210626,0.00309764
clsqdeim,0.05,7,23,43,10,13.332009,9.190741,0.570113,1.69435e-05,0.00503457,0.00032411
clsgnat,0.05,7,23,43,10,27599496.793344,462037632.580838,1.18687,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,23,43,10,35.485740,14.356260,0.425746,1.02239e-05,0.00280636,0.000430935
qdeim,0.05,7,23,43,10,35.353357,16.972391,0.381339,2.28081e-05,0.0138686,0.001522
gnat,0.05,7,23,43,10,19.234725,13.582414,,0.0120948,2.84294,0.43103
clssopt,0.05,7,23,43,20,8.248800,6.306567,0.5591,2.41402e-06,0.000345069,3.74795e-05
clsqdeim,0.05,7,23,43,20,7.713019,5.392948,0.55499,9.03895e-06,0.00114856,0.000165438
clsgnat,0.05,7,23,43,20,14695440.692719,309639123.653475,0.885636,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,23,43,20,9.944192,8.789848,0.66302,2.5005e-06,0.000489659,6.85528e-05
qdeim,0.05,7,23,43,20,14.247760,13.012838,0.494889,9.66443e-06,0.00251823,0.000284583
gnat,0.05,7,23,43,20,11.699568,7.057037,,0.0123991,3.20548,0.510317
clssopt,0.05,7,23,43,30,6.148831,3.699696,0.592592,3.9699e-06,0.00033226,3.52362e-05
clsqdeim,0.05,7,23,43,30,6.711677,4.488118,0.623058,1.00821e-05,0.000817165,7.77353e-05
clsgnat,0.05,7,23,43,30,10893669.671707,17795636.649866,0.915285,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,23,43,30,12.015815,6.434691,0.544445,2.07521e-06,0.000406823,4.18048e-05
qdeim,0.05,7,23,43,30,11.137772,7.698815,0.475392,4.01052e-06,0.000728846,7.00886e-05
gnat,0.05,7,23,43,30,8.551747,4.117042,,0.0124367,3.10541,0.487293
clssopt,0.05,7,23,43,40,4.880150,3.289399,0.633382,3.42689e-06,0.000317503,2.81021e-05
clsqdeim,0.05,7,23,43,40,6.177489,2.785306,0.678627,7.99041e-06,0.000954976,9.10304e-05
clsgnat,0.05,7,23,43,40,6853181.666164,42707798.380949,3.44458,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,23,43,40,10.822394,5.635845,0.746251,2.39067e-06,0.000389353,2.48215e-05
qdeim,0.05,7,23,43,40,9.564336,6.711944,0.533155,1.06125e-05,0.00129547,0.000134418
gnat,0.05,7,23,43,40,8.785071,3.528901,,0.0125291,3.19801,0.511809
clssopt,0.05,7,23,43,50,5.461000,3.056012,0.696459,3.66951e-06,0.000326291,2.73985e-05
clsqdeim,0.05,7,23,43,50,4.834512,3.373118,0.725009,3.38636e-06,0.000563544,5.11093e-05
clsgnat,0.05,7,23,43,50,5913628.571910,22248386.324296,,nan,nan,nan
sopt,0.05,7,23,43,50,7.617102,5.410926,0.62924,2.01734e-06,0.000374892,2.39596e-05
qdeim,0.05,7,23,43,50,10.448576,7.930344,0.556095,9.89692e-06,0.00115532,0.000129723
